Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
38390,UCBPlayer,130,275,405,25,40,UCBPlayer
38391,UCBPlayer,105,210,315,10,65,UCBPlayer
38392,UCBPlayer,130,275,405,25,40,UCBPlayer
38393,UCBPlayer,103,203,306,10,68,UCBPlayer
38394,UCBPlayer,128,283,411,25,38,UCBPlayer
38395,UCBPlayer,111,186,297,10,71,UCBPlayer
38396,UCBPlayer,124,299,423,25,34,UCBPlayer
38397,UCBPlayer,115,170,285,10,75,UCBPlayer
38398,UCBPlayer,120,315,435,25,30,UCBPlayer
38399,UCBPlayer,119,154,273,10,79,UCBPlayer
38400,UCBPlayer,112,332,444,25,27,UCBPlayer
38401,UCBPlayer,127,137,264,10,82,UCBPlayer
38402,UCBPlayer,104,349,453,25,24,UCBPlayer
38403,UCBPlayer,126,126,252,7,85,Tie
38404,UCBPlayer,111,351,462,28,22,UCBPlayer
38405,UCBPlayer,116,126,242,3,87,UCBPlayer
38406,UCBPlayer,122,347,469,32,21,UCBPlayer
38407,UCBPlayer,107,132,239,0,87,UCBPlayer
38408,UCBPlayer,132,337,469,35,22,UCBPlayer
38409,UCBPlayer,103,148,251,0,83,UCBPlayer
38410,UCBPlayer,136,321,457,35,26,UCBPlayer
38411,UCBPlayer,99,164,263,0,79,UCBPlayer
38412,UCBPlayer,140,305,445,35,30,UCBPlayer
38413,UCBPlayer,95,180,275,0,75,UCBPlayer
38414,UCBPlayer,144,289,433,35,34,UCBPlayer
38415,UCBPlayer,91,196,287,0,71,UCBPlayer
38416,UCBPlayer,148,273,421,35,38,UCBPlayer
38417,UCBPlayer,87,212,299,0,67,UCBPlayer
38418,UCBPlayer,152,257,409,35,42,UCBPlayer
38419,UCBPlayer,84,224,308,0,64,UCBPlayer
38420,UCBPlayer,146,251,397,32,45,UCBPlayer
38421,UCBPlayer,89,234,323,3,60,UCBPlayer
38422,UCBPlayer,138,243,381,28,49,UCBPlayer
38423,UCBPlayer,97,242,339,7,56,UCBPlayer
38424,UCBPlayer,130,235,365,24,53,UCBPlayer
38425,UCBPlayer,105,250,355,11,52,UCBPlayer
38426,UCBPlayer,122,227,349,20,57,UCBPlayer
38427,UCBPlayer,109,259,368,15,49,UCBPlayer
38428,UCBPlayer,118,218,336,16,60,UCBPlayer
38429,UCBPlayer,117,267,384,19,45,UCBPlayer
38430,UCBPlayer,110,210,320,12,64,UCBPlayer
38431,UCBPlayer,126,271,397,23,42,UCBPlayer
38432,UCBPlayer,105,210,315,10,65,UCBPlayer
38433,UCBPlayer,130,275,405,25,40,UCBPlayer
38434,UCBPlayer,105,210,315,10,65,UCBPlayer
38435,UCBPlayer,130,275,405,25,40,UCBPlayer
38436,UCBPlayer,106,206,312,10,66,UCBPlayer
38437,UCBPlayer,130,275,405,25,40,UCBPlayer
38438,UCBPlayer,105,210,315,10,65,UCBPlayer
38439,UCBPlayer,131,271,402,25,41,UCBPlayer
38440,UCBPlayer,105,210,315,10,65,UCBPlayer
38441,UCBPlayer,130,275,405,25,40,UCBPlayer
38442,UCBPlayer,105,210,315,10,65,UCBPlayer
38443,UCBPlayer,130,275,405,25,40,UCBPlayer
38444,UCBPlayer,103,203,306,10,68,UCBPlayer
38445,UCBPlayer,128,283,411,25,38,UCBPlayer
38446,UCBPlayer,111,186,297,10,71,UCBPlayer
38447,UCBPlayer,124,299,423,25,34,UCBPlayer
38448,UCBPlayer,115,170,285,10,75,UCBPlayer
38449,UCBPlayer,120,315,435,25,30,UCBPlayer
38450,UCBPlayer,119,154,273,10,79,UCBPlayer
38451,UCBPlayer,112,332,444,25,27,UCBPlayer
38452,UCBPlayer,127,137,264,10,82,UCBPlayer
38453,UCBPlayer,104,349,453,25,24,UCBPlayer
38454,UCBPlayer,126,126,252,7,85,Tie
38455,UCBPlayer,111,351,462,28,22,UCBPlayer
38456,UCBPlayer,116,126,242,3,87,UCBPlayer
38457,UCBPlayer,122,347,469,32,21,UCBPlayer
38458,UCBPlayer,107,132,239,0,87,UCBPlayer
38459,UCBPlayer,132,337,469,35,22,UCBPlayer
38460,UCBPlayer,103,148,251,0,83,UCBPlayer
38461,UCBPlayer,136,321,457,35,26,UCBPlayer
38462,UCBPlayer,99,164,263,0,79,UCBPlayer
38463,UCBPlayer,140,305,445,35,30,UCBPlayer
38464,UCBPlayer,95,180,275,0,75,UCBPlayer
38465,UCBPlayer,144,289,433,35,34,UCBPlayer
38466,UCBPlayer,91,196,287,0,71,UCBPlayer
38467,UCBPlayer,148,273,421,35,38,UCBPlayer
38468,UCBPlayer,87,212,299,0,67,UCBPlayer
38469,UCBPlayer,152,257,409,35,42,UCBPlayer
38470,UCBPlayer,84,224,308,0,64,UCBPlayer
38471,UCBPlayer,146,251,397,32,45,UCBPlayer
38472,UCBPlayer,89,234,323,3,60,UCBPlayer
38473,UCBPlayer,138,243,381,28,49,UCBPlayer
38474,UCBPlayer,97,242,339,7,56,UCBPlayer
38475,UCBPlayer,130,235,365,24,53,UCBPlayer
38476,UCBPlayer,105,250,355,11,52,UCBPlayer
38477,UCBPlayer,122,227,349,20,57,UCBPlayer
38478,UCBPlayer,109,259,368,15,49,UCBPlayer
38479,UCBPlayer,118,218,336,16,60,UCBPlayer
38480,UCBPlayer,117,267,384,19,45,UCBPlayer
38481,UCBPlayer,110,210,320,12,64,UCBPlayer
38482,UCBPlayer,126,271,397,23,42,UCBPlayer
38483,UCBPlayer,105,210,315,10,65,UCBPlayer
38484,UCBPlayer,130,275,405,25,40,UCBPlayer
38485,UCBPlayer,105,210,315,10,65,UCBPlayer
38486,UCBPlayer,130,275,405,25,40,UCBPlayer
38487,UCBPlayer,106,206,312,10,66,UCBPlayer
38488,UCBPlayer,130,275,405,25,40,UCBPlayer
38489,UCBPlayer,105,210,315,10,65,UCBPlayer
38490,UCBPlayer,131,271,402,25,41,UCBPlayer
38491,UCBPlayer,105,210,315,10,65,UCBPlayer
38492,UCBPlayer,130,275,405,25,40,UCBPlayer
38493,UCBPlayer,105,210,315,10,65,UCBPlayer
