Game,Opponent,PlayerA_Score,PlayerB_Score,Cumulative_Score,CCs,DDs,Winner
101,Bayesian,208,243,451,26,25,Bayesian
102,Bayesian,224,214,438,31,31,Player A
103,Bayesian,203,243,446,27,27,Bayesian
104,Bayesian,183,258,441,28,29,Bayesian
105,Bayesian,211,246,457,23,22,Bayesian
106,Bayesian,243,198,441,28,29,Player A
107,Bayesian,243,213,456,22,22,Player A
108,Bayesian,209,244,453,25,24,Bayesian
109,Bayesian,220,225,445,26,27,Bayesian
110,Bayesian,227,217,444,28,28,Player A
111,Bayesian,240,210,450,25,25,Player A
112,Bayesian,225,225,450,25,25,Tie
113,Bayesian,212,232,444,28,28,Bayesian
114,Bayesian,236,216,452,24,24,Player A
115,Bayesian,212,227,439,32,31,Bayesian
116,Bayesian,192,257,449,24,25,Bayesian
117,Bayesian,186,266,452,24,24,Bayesian
118,Bayesian,228,218,446,27,27,Player A
0,UCBPlayer,13,483,496,2,2,UCBPlayer
1,UCBPlayer,13,483,496,2,2,UCBPlayer
2,UCBPlayer,13,483,496,2,2,UCBPlayer
3,UCBPlayer,13,483,496,2,2,UCBPlayer
4,UCBPlayer,13,483,496,2,2,UCBPlayer
5,UCBPlayer,13,483,496,2,2,UCBPlayer
6,UCBPlayer,13,483,496,2,2,UCBPlayer
7,UCBPlayer,13,483,496,2,2,UCBPlayer
8,UCBPlayer,13,483,496,2,2,UCBPlayer
9,UCBPlayer,13,483,496,2,2,UCBPlayer
10,UCBPlayer,13,483,496,2,2,UCBPlayer
0,JointPQPlayer,339,124,463,20,19,Player A
1,JointPQPlayer,356,106,462,19,19,Player A
2,JointPQPlayer,190,275,465,16,17,JointPQPlayer
3,JointPQPlayer,281,176,457,23,22,Player A
4,JointPQPlayer,364,99,463,17,18,Player A
5,JointPQPlayer,318,143,461,21,20,Player A
6,JointPQPlayer,307,147,454,23,23,Player A
7,JointPQPlayer,325,130,455,21,22,Player A
8,JointPQPlayer,264,199,463,20,19,Player A
9,JointPQPlayer,339,119,458,21,21,Player A
10,JointPQPlayer,363,103,466,17,17,Player A
11,JointPQPlayer,253,208,461,18,19,Player A
12,JointPQPlayer,359,104,463,20,19,Player A
13,JointPQPlayer,287,167,454,23,23,Player A
14,JointPQPlayer,270,185,455,21,22,Player A
15,JointPQPlayer,325,130,455,24,23,Player A
16,JointPQPlayer,282,182,464,18,18,Player A
17,JointPQPlayer,346,116,462,19,19,Player A
18,JointPQPlayer,337,122,459,19,20,Player A
19,JointPQPlayer,182,267,449,27,26,JointPQPlayer
20,JointPQPlayer,359,109,468,16,16,Player A
21,JointPQPlayer,319,134,453,22,23,Player A
22,JointPQPlayer,283,178,461,21,20,Player A
23,JointPQPlayer,104,364,468,16,16,JointPQPlayer
24,JointPQPlayer,324,144,468,16,16,Player A
25,JointPQPlayer,125,340,465,16,17,JointPQPlayer
26,JointPQPlayer,102,362,464,18,18,JointPQPlayer
27,JointPQPlayer,238,218,456,22,22,Player A
28,JointPQPlayer,214,239,453,25,24,JointPQPlayer
29,JointPQPlayer,199,254,453,22,23,JointPQPlayer
30,JointPQPlayer,124,339,463,20,19,JointPQPlayer
31,JointPQPlayer,97,362,459,19,20,JointPQPlayer
32,JointPQPlayer,219,234,453,25,24,JointPQPlayer
33,JointPQPlayer,299,164,463,17,18,Player A
34,JointPQPlayer,354,104,458,21,21,Player A
35,JointPQPlayer,298,163,461,21,20,Player A
36,JointPQPlayer,227,232,459,19,20,JointPQPlayer
37,JointPQPlayer,120,340,460,20,20,JointPQPlayer
38,JointPQPlayer,346,111,457,23,22,Player A
39,JointPQPlayer,298,158,456,22,22,Player A
40,JointPQPlayer,267,187,454,23,23,Player A
41,JointPQPlayer,129,324,453,22,23,JointPQPlayer
42,JointPQPlayer,284,179,463,20,19,Player A
43,JointPQPlayer,348,118,466,17,17,Player A
44,JointPQPlayer,85,385,470,15,15,JointPQPlayer
45,JointPQPlayer,318,133,451,23,24,Player A
46,JointPQPlayer,363,103,466,17,17,Player A
47,JointPQPlayer,326,126,452,24,24,Player A
48,JointPQPlayer,298,163,461,21,20,Player A
49,JointPQPlayer,177,282,459,19,20,JointPQPlayer
50,JointPQPlayer,183,288,471,16,15,JointPQPlayer
51,JointPQPlayer,87,382,469,14,15,JointPQPlayer
52,JointPQPlayer,321,146,467,18,17,Player A
53,JointPQPlayer,346,116,462,19,19,Player A
54,JointPQPlayer,335,125,460,20,20,Player A
55,JointPQPlayer,201,266,467,15,16,JointPQPlayer
0,revTitforTat,200,200,400,50,50,Tie
1,revTitforTat,200,200,400,50,50,Tie
2,revTitforTat,200,200,400,50,50,Tie
3,revTitforTat,200,200,400,50,50,Tie
4,revTitforTat,200,200,400,50,50,Tie
5,revTitforTat,200,200,400,50,50,Tie
6,revTitforTat,200,200,400,50,50,Tie
7,revTitforTat,200,200,400,50,50,Tie
8,revTitforTat,200,200,400,50,50,Tie
9,revTitforTat,200,200,400,50,50,Tie
10,revTitforTat,200,200,400,50,50,Tie
0,PatternPlayer,215,220,435,34,33,PatternPlayer
1,PatternPlayer,218,213,431,33,34,Player A
2,PatternPlayer,215,220,435,34,33,PatternPlayer
3,PatternPlayer,217,217,434,33,33,Tie
4,PatternPlayer,218,213,431,33,34,Player A
5,PatternPlayer,215,220,435,34,33,PatternPlayer
6,PatternPlayer,217,217,434,33,33,Tie
7,PatternPlayer,218,213,431,33,34,Player A
